  0.0015   -0.14034303E+03   -0.14072848E+03   -0.22837774E+02   -0.86740106E-02   -0.33314843E-04    0.36944201E-04   -0.23761241E+03   -0.28986488E+03   -0.31977530E+04   -0.13958682E+01   -0.40720072E-02    0.57656883E-02    0.00000000E+00   -0.25571741E+03   -0.16126112E+05   -0.42655233E+02   -0.82129461E-01   -0.32518443E-01    0.00000000E+00    0.31930113E+04    0.19335155E+06    0.83988864E+02    0.16408613E+00   -0.43074834E+00
  0.0016   -0.14969183E+03   -0.15015957E+03   -0.25981987E+02   -0.98685034E-02   -0.37901639E-04    0.42030389E-04   -0.23754130E+03   -0.29698790E+03   -0.34106288E+04   -0.14888428E+01   -0.43430826E-02    0.61495128E-02    0.00000000E+00   -0.27269147E+03   -0.16121663E+05   -0.42652848E+02   -0.82120295E-01   -0.32522963E-01    0.00000000E+00    0.34055714E+04    0.19333349E+06    0.83984092E+02    0.16406780E+00   -0.43071111E+00
  0.0017   -0.15903919E+03   -0.15960018E+03   -0.29328435E+02   -0.11139903E-01   -0.42783492E-04    0.47443682E-04   -0.23746563E+03   -0.30456913E+03   -0.36234452E+04   -0.15818013E+01   -0.46140822E-02    0.65332300E-02    0.00000000E+00   -0.28965127E+03   -0.16116929E+05   -0.42650308E+02   -0.82110539E-01   -0.32527773E-01    0.00000000E+00    0.36180720E+04    0.19331426E+06    0.83979012E+02    0.16404828E+00   -0.43067147E+00
  0.0018   -0.16838502E+03   -0.16905090E+03   -0.32877001E+02   -0.12488178E-01   -0.47960242E-04    0.53183883E-04   -0.23738540E+03   -0.31260834E+03   -0.38361984E+04   -0.16747427E+01   -0.48850013E-02    0.69168333E-02    0.00000000E+00   -0.30659592E+03   -0.16111908E+05   -0.42647615E+02   -0.82100192E-01   -0.32532873E-01    0.00000000E+00    0.38305095E+04    0.19329387E+06    0.83973626E+02    0.16402759E+00   -0.43062944E+00
  0.0019   -0.17772925E+03   -0.17851230E+03   -0.36627562E+02   -0.13913300E-01   -0.53431716E-04    0.59250787E-04   -0.23730061E+03   -0.32110525E+03   -0.40488846E+04   -0.17676661E+01   -0.51558353E-02    0.73003159E-02    0.00000000E+00   -0.32352453E+03   -0.16106601E+05   -0.42644769E+02   -0.82089257E-01   -0.32538264E-01    0.00000000E+00    0.40428801E+04    0.19327232E+06    0.83967932E+02    0.16400571E+00   -0.43058502E+00
  0.0020   -0.18707178E+03   -0.18798499E+03   -0.40579990E+02   -0.15415233E-01   -0.59197732E-04    0.65644176E-04   -0.23721128E+03   -0.33005959E+03   -0.42615003E+04   -0.18605703E+01   -0.54265793E-02    0.76836712E-02    0.00000000E+00   -0.34043621E+03   -0.16101008E+05   -0.42641769E+02   -0.82077731E-01   -0.32543944E-01    0.00000000E+00    0.42551802E+04    0.19324961E+06    0.83961931E+02    0.16398266E+00   -0.43053819E+00
  0.0030   -0.28038393E+03   -0.28346196E+03   -0.91173358E+02   -0.34650684E-01   -0.13301089E-03    0.14747849E-03   -0.23606912E+03   -0.44468907E+03   -0.63829604E+04   -0.27883408E+01   -0.81280391E-02    0.11508756E-01    0.00000000E+00   -0.50842770E+03   -0.16029402E+05   -0.42603337E+02   -0.81930139E-01   -0.32616644E-01    0.00000000E+00    0.63734893E+04    0.19295872E+06    0.83885055E+02    0.16368743E+00   -0.42993853E+00
  0.0040   -0.37342850E+03   -0.38071107E+03   -0.16175905E+03   -0.61517748E-01   -0.23600674E-03    0.26163529E-03   -0.23447980E+03   -0.60464249E+03   -0.84933099E+04   -0.37131016E+01   -0.10815351E-01    0.15313808E-01    0.00000000E+00   -0.67375855E+03   -0.15929448E+05   -0.42549626E+02   -0.81724024E-01   -0.32718030E-01    0.00000000E+00    0.84806989E+04    0.19255243E+06    0.83777616E+02    0.16327513E+00   -0.42910090E+00
  0.0050   -0.46611784E+03   -0.48030774E+03   -0.25209352E+03   -0.95954164E-01   -0.36784474E-03    0.40770587E-03   -0.23245296E+03   -0.80939512E+03   -0.10588908E+05   -0.46338624E+01   -0.13483878E-01    0.19092262E-01    0.00000000E+00   -0.83556063E+03   -0.15801442E+05   -0.42480729E+02   -0.81459897E-01   -0.32847708E-01    0.00000000E+00    0.10573171E+05    0.19203169E+06    0.83639802E+02    0.16274680E+00   -0.42802719E+00
  0.0060   -0.55836554E+03   -0.58281439E+03   -0.36186576E+03   -0.13788031E+00   -0.52808998E-03    0.58516836E-03   -0.23000084E+03   -0.10582767E+04   -0.12666166E+05   -0.55496439E+01   -0.16129052E-01    0.22837649E-01    0.00000000E+00   -0.99298173E+03   -0.15645756E+05   -0.42396766E+02   -0.81138411E-01   -0.33005178E-01    0.00000000E+00    0.12647322E+05    0.19139769E+06    0.83471850E+02    0.16210373E+00   -0.42671982E+00
