  -1.34837   0.00000    0.5588678818E-01   -0.2110263533E-07   -0.1523925261E-03
  -1.33835   0.00000    0.5691974605E-01   -0.2144215709E-07   -0.2095437310E-03
  -1.32832   0.00000    0.5797880736E-01   -0.2177898677E-07   -0.2704159008E-03
  -1.31830   0.00000    0.5906181738E-01   -0.2210858899E-07   -0.3353297982E-03
  -1.30827   0.00000    0.6017100240E-01   -0.2242865694E-07   -0.4049004515E-03
  -1.29825   0.00000    0.6130451814E-01   -0.2273704402E-07   -0.4795311386E-03
  -1.28822   0.00000    0.6246540819E-01   -0.2303431513E-07   -0.5599700796E-03
  -1.27819   0.00000    0.6365381355E-01   -0.2332154830E-07   -0.6467922099E-03
  -1.26817   0.00000    0.6487016056E-01   -0.2360131194E-07   -0.7405971904E-03
  -1.25815   0.00000    0.6611742576E-01   -0.2387720637E-07   -0.8422373173E-03
  -1.24812   0.00000    0.6739871712E-01   -0.2415124020E-07   -0.9526796714E-03
  -1.23809   0.00000    0.6871454036E-01   -0.2442269277E-07   -0.1072764615E-02
  -1.22807   0.00000    0.7006510159E-01   -0.2468856975E-07   -0.1203369764E-02
  -1.21805   0.00000    0.7145311607E-01   -0.2494398099E-07   -0.1345616551E-02
  -1.20802   0.00000    0.7288143641E-01   -0.2518153195E-07   -0.1500507792E-02
  -1.19799   0.00000    0.7435019578E-01   -0.2539276323E-07   -0.1668487658E-02
  -1.18797   0.00000    0.7585950693E-01   -0.2557097247E-07   -0.1849628488E-02
  -1.17795   0.00000    0.7741260995E-01   -0.2571185629E-07   -0.2044005292E-02
  -1.16792   0.00000    0.7901307243E-01   -0.2581305364E-07   -0.2251552100E-02
  -1.15789   0.00000    0.8066143316E-01   -0.2587405707E-07   -0.2471956471E-02
  -1.14787   0.00000    0.8235814166E-01   -0.2589639096E-07   -0.2705276186E-02
  -1.13784   0.00000    0.8410883980E-01   -0.2588156299E-07   -0.2952863031E-02
  -1.12782   0.00000    0.8591237917E-01   -0.2582952196E-07   -0.3215797001E-02
  -1.11779   0.00000    0.8777479936E-01   -0.2573828383E-07   -0.3496709176E-02
  -1.10777   0.00000    0.8969489616E-01   -0.2560421627E-07   -0.3797239454E-02
  -1.09774   0.00000    0.9167903337E-01   -0.2542130985E-07   -0.4119982913E-02
  -1.08772   0.00000    0.9372575431E-01   -0.2518243288E-07   -0.4465864605E-02
  -1.07769   0.00000    0.9584162823E-01   -0.2487902444E-07   -0.4836575054E-02
  -1.06767   0.00000    0.9802491938E-01   -0.2450385534E-07   -0.5231976100E-02
  -1.05764   0.00000    0.1002825228E+00   -0.2404856859E-07   -0.5653501362E-02
  -1.04762   0.00000    0.1026125217E+00   -0.2350681466E-07   -0.6101207034E-02
  -1.03759   0.00000    0.1050222350E+00   -0.2287041770E-07   -0.6577305216E-02
  -1.02757   0.00000    0.1075096271E+00   -0.2213354260E-07   -0.7082715203E-02
  -1.01754   0.00000    0.1100824995E+00   -0.2128721107E-07   -0.7620747813E-02
  -1.00752   0.00000    0.1127385336E+00   -0.2032508894E-07   -0.8192713668E-02
  -0.99749   0.00000    0.1154857872E+00   -0.1923636126E-07   -0.8802050539E-02
  -0.98747   0.00000    0.1183214386E+00   -0.1801340739E-07   -0.9449672280E-02
  -0.97744   0.00000    0.1212536334E+00   -0.1664276485E-07   -0.1013880207E-01
  -0.96742   0.00000    0.1242788839E+00   -0.1511529109E-07   -0.1086992444E-01
